,Unnamed: 0,Budget,Clicks,Conversions,Revenue_Generated,ROI,Subscription_Tier,Subscription_Length,Discount_Level,Units_Sold,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords,Conversion_Rate,Customer_Response,Revenue_per_Click,ROI_Score
0,0,41770.45,4946,73,15520.09,1.94,Premium,4,43,34,433.8,4,Affordable,0.014756418031129977,0,3.1372730948049323,0.028627450980392155
1,1,29900.93,570,510,30866.17,0.76,Premium,4,28,97,289.29,2,Innovative,0.8931698774080561,0,54.05633975481611,0.6788091068301226
2,2,22367.45,3546,265,32585.62,1.41,Basic,9,51,160,462.87,4,Affordable,0.07471102340005639,1,9.186811389906964,0.10534254299407951
3,3,29957.54,2573,781,95740.12,3.32,Premium,32,36,159,334.16,1,Durable,0.3034188034188034,1,37.19507381507381,1.0073504273504272
4,4,36277.19,818,79,81990.43,3.53,Standard,29,20,52,371.67,2,Affordable,0.09645909645909646,1,100.11041514041513,0.3405006105006105
5,5,41159.74,1259,763,65792.3,0.77,Basic,31,17,88,194.93,2,Affordable,0.6055555555555555,0,52.21611111111111,0.46627777777777774
6,6,32787.71,3882,29,54205.71,4.84,Basic,9,44,75,232.09,1,Stylish,0.007468452227659027,0,13.959750193149626,0.03614730878186969
7,7,38372.99,230,350,82083.18,0.74,Premium,18,31,26,211.59,4,Stylish,1.5151515151515151,0,355.3384415584415,1.121212121212121
8,8,13332.96,4657,349,95260.16,0.75,Premium,2,29,78,495.94,4,Affordable,0.07492486045513096,0,20.45087161872048,0.056193645341348214
9,9,33407.18,3027,963,25569.45,2.15,Basic,35,14,149,488.82,2,Durable,0.3180317040951123,1,8.444336195508587,0.6837681638044913
10,10,11456.22,4449,331,67630.55,2.37,Standard,33,19,143,266.61,2,Durable,0.07438202247191011,1,15.197876404494382,0.176285393258427
11,11,43196.51,3528,323,63178.82,4.42,Standard,8,35,142,417.97,3,Stylish,0.09152734485689998,1,17.90275432133749,0.4045508642674979
12,12,41208.27,2385,326,62705.47,4.93,Premium,23,41,158,193.41,2,Innovative,0.1366303436714166,1,26.28058256496228,0.6735875943000839
13,13,18180.18,2659,642,10906.87,3.96,Premium,32,34,40,361.68,2,Innovative,0.24135338345864663,1,4.100327067669173,0.9557593984962406
14,14,4189.15,1087,790,82691.34,3.43,Standard,6,62,120,298.45,3,Stylish,0.7261029411764706,1,76.00306985294117,2.4905330882352943
15,15,35505.09,868,309,22019.07,1.98,Standard,23,31,185,209.6,4,Affordable,0.35558112773302647,1,25.338400460299194,0.7040506329113924
16,16,4790.99,2872,940,81902.94,3.85,Premium,28,59,64,233.93,2,Stylish,0.32718412808910546,1,28.507810650887574,1.2596588931430561
17,17,15891.2,1582,706,38536.95,4.17,Basic,24,16,102,199.02,1,Stylish,0.4459886291850916,1,24.344251421351863,1.859772583701832
18,18,13009.17,1332,580,50091.17,3.51,Basic,27,20,80,154.4,1,Affordable,0.4351087771942986,1,37.57777194298575,1.527231807951988
19,19,47193.29,3585,791,56029.73,1.55,Premium,25,59,106,384.44,1,Affordable,0.22058003346346905,1,15.62457612939208,0.34189905186837705
20,20,36564.68,4331,108,46426.93,1.23,Premium,21,31,177,410.3,3,Durable,0.024930747922437674,0,10.717204524469068,0.03066481994459834
21,21,37864.68,1888,947,23255.86,1.94,Basic,14,33,179,443.24,4,Durable,0.5013234515616728,1,12.311201694018,0.9725674960296452
22,22,18632.1,497,91,68453.18,4.25,Basic,1,31,102,227.11,3,Innovative,0.1827309236947791,1,137.4561847389558,0.7766064257028112
23,23,38985.39,3848,411,99186.53,4.86,Standard,6,10,137,252.01,2,Affordable,0.10678098207326578,1,25.769428422967003,0.5189555728760717
24,24,47081.65,1816,129,54481.48,1.14,Basic,21,53,176,392.36,4,Stylish,0.07099614749587231,1,29.984303797468357,0.08093560814529442
25,25,8809.37,4867,385,8356.41,2.8,Premium,10,63,72,445.15,3,Stylish,0.07908792111750206,1,1.716600246507806,0.22144617912900574
26,26,37643.5,3700,521,93046.27,2.71,Premium,28,68,197,201.44,1,Affordable,0.140772764117806,1,25.140845717373683,0.3814941907592543
27,27,6806.29,4039,352,45830.03,4.2,Basic,32,21,41,119.94,4,Durable,0.08712871287128712,1,11.344066831683168,0.36594059405940593
28,28,39917.29,1808,42,94641.55,3.68,Standard,28,54,51,443.08,2,Durable,0.02321724709784411,0,52.31705362078497,0.08543946932006634
29,29,29926.86,1946,349,24857.92,4.03,Standard,2,18,155,343.23,3,Affordable,0.17925012840267077,1,12.767293271700051,0.7223780174627632
30,30,18360.77,3224,138,10462.13,1.19,Standard,17,49,12,472.55,2,Innovative,0.04279069767441861,0,3.244071317829457,0.05092093023255814
31,31,35293.04,431,709,51133.0,2.11,Standard,6,65,110,75.39,3,Innovative,1.6412037037037037,1,118.36342592592592,3.4629398148148147
32,32,25309.05,2240,251,28767.29,1.96,Premium,12,48,75,73.51,2,Affordable,0.11200356983489514,1,12.836809460062472,0.21952699687639446
33,33,16560.12,2203,62,88344.56,4.15,Basic,6,53,113,290.98,3,Stylish,0.028130671506352088,0,40.08373865698729,0.11674228675136118
